epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.922,3.21775,4.66266,4.49803,0.00355,0.72778,0.00582,0.00193,3.37355,4.38042,4.15789,7.5e-05,7.5e-05,7.5e-05
2,332.694,3.25852,4.57152,4.49499,0.00366,0.72778,0.00736,0.00225,3.37475,4.37797,4.15739,0.000146413,0.000146413,0.000146413
3,607.268,3.23135,4.32024,4.25408,0.00362,0.72778,0.00604,0.00228,3.37835,4.37403,4.1589,0.0002005,0.0002005,0.0002005
4,835.362,3.05114,4.28322,4.19279,0.00351,0.69653,0.00562,0.00209,3.38187,4.36888,4.1623,0.000237263,0.000237263,0.000237263
5,1035.86,3.00611,4.23881,4.08281,0.00358,0.72778,0.00747,0.00291,3.3871,4.3611,4.1706,0.0002567,0.0002567,0.0002567
6,1267.58,2.89784,4.10664,4.01658,0.00346,0.69653,0.0076,0.00292,3.39157,4.35205,4.17964,0.000258812,0.000258812,0.000258812
7,1433.86,2.79818,4.06437,3.92026,0.00347,0.72778,0.00608,0.00215,3.41795,4.33566,4.20466,0.0002436,0.0002436,0.0002436
8,1555.93,2.7074,3.94709,3.88809,0.00335,0.70278,0.00513,0.00191,3.44023,4.32998,4.22486,0.000211063,0.000211063,0.000211063
9,1641.61,2.65194,3.85173,3.81535,0.00348,0.71667,0.0053,0.00197,3.46682,4.33061,4.25444,0.0001612,0.0001612,0.0001612
10,1743.57,2.63328,3.82931,3.75954,0.00348,0.72778,0.00517,0.00195,3.47967,4.32318,4.2674,9.40125e-05,9.40125e-05,9.40125e-05
